character,comic_title,format,date,event
Adam Warlock,Infinity By Starlin & Hickman (Hardcover),Hardcover,2019-04-03 00:00:00+00:00,None
Adam Warlock,Infinity War Omnibus (Trade Paperback),Trade Paperback,2019-04-03 00:00:00+00:00,None
Adam Warlock,Infinity Wars: Infinity (2019) #1,Comic,2019-01-02 00:00:00+00:00,None
Adam Warlock,Infinity Wars (2018) #6,Comic,2018-12-19 00:00:00+00:00,None
Adam Warlock,Warlock: Second Coming (Trade Paperback),Trade Paperback,2018-08-22 00:00:00+00:00,None
Adam Warlock,Infinity Wars (2018) #2,Comic,2018-08-15 00:00:00+00:00,None
Adam Warlock,Infinity Wars Prime (2018) #1,Comic,2018-07-25 00:00:00+00:00,None
Adam Warlock,Infinity Countdown (2018) #5,Comic,2018-07-18 00:00:00+00:00,None
Adam Warlock,Infinity Countdown (2018) #4,Comic,2018-06-06 00:00:00+00:00,None
Adam Warlock,Infinity Countdown (2018) #3,Comic,2018-05-02 00:00:00+00:00,None
Adam Warlock,True Believers: Infinity War (2018) #1,Comic,2018-04-25 00:00:00+00:00,None
Adam Warlock,Infinity Countdown (2018) #2,Comic,2018-04-18 00:00:00+00:00,None
Adam Warlock,True Believers: Infinity Gauntlet (2018) #1,Comic,2018-04-11 00:00:00+00:00,None
Adam Warlock,All-New Guardians of the Galaxy Vol. 3: Infinity Quest (Trade Paperback),Trade Paperback,2018-03-14 00:00:00+00:00,None
Adam Warlock,Infinity War (Hardcover),Hardcover,2018-03-07 00:00:00+00:00,None
Adam Warlock,Infinity War Aftermath (Hardcover),Hardcover,2018-03-07 00:00:00+00:00,None
Adam Warlock,Infinity Gauntlet (Hardcover),Hardcover,2018-03-07 00:00:00+00:00,None
Adam Warlock,Infinity Gauntlet Aftermath (Hardcover),Hardcover,2018-03-07 00:00:00+00:00,None
Adam Warlock,Infinity Crusade (Hardcover),Hardcover,2018-03-07 00:00:00+00:00,None
Adam Warlock,Infinity Countdown Prime (2018) #1,Comic,2018-02-21 00:00:00+00:00,None
Adam Warlock,Infinity Countdown: Adam Warlock (2018) #1,Comic,2018-02-07 00:00:00+00:00,None
Adam Warlock,All-New Guardians of the Galaxy (2017) #150,Comic,2018-01-03 00:00:00+00:00,None
Adam Warlock,THE MIGHTY THOR OMNIBUS VOL. 3 (Hardcover),Hardcover,2017-09-27 00:00:00+00:00,None
Adam Warlock,MARVEL MASTERWORKS: THE AVENGERS (Hardcover),Hardcover,2017-08-09 00:00:00+00:00,None
Adam Warlock,GUARDIANS OF THE GALAXY: ROAD TO ANNIHILATION VOL. 2 (Trade Paperback),Trade Paperback,2017-04-05 00:00:00+00:00,None
Adam Warlock,INFINITY CRUSADE VOL. 1 (Trade Paperback),Trade Paperback,2012-07-11 00:00:00+00:00,None
Adam Warlock,Thor: Blood & Thunder (Trade Paperback),Trade Paperback,2011-06-29 00:00:00+00:00,None
Adam Warlock,Guardians of the Galaxy (2008) #17,Comic,2009-08-26 00:00:00+00:00,None
Adam Warlock,Annihilation: Conquest (2007) #6,Comic,2008-04-16 00:00:00+00:00,Annihilation: Conquest
Adam Warlock,New Mutants Classic Vol. 3 (Trade Paperback),Trade Paperback,2008-04-09 00:00:00+00:00,None
Adam Warlock,Annihilation: Conquest (2007) #5,Comic,2008-03-12 00:00:00+00:00,Annihilation: Conquest
Adam Warlock,CLANDESTINE CLASSIC (Hardcover),Hardcover,2008-02-13 00:00:00+00:00,None
Adam Warlock,Annihilation: Conquest (2007) #4,Comic,2008-02-06 00:00:00+00:00,Annihilation: Conquest
Adam Warlock,Annihilation: Conquest (2007) #3,Comic,2008-01-02 00:00:00+00:00,Annihilation: Conquest
Adam Warlock,Annihilation: Conquest (2007) #2,Comic,2007-12-05 00:00:00+00:00,Annihilation: Conquest
Adam Warlock,Annihilation: Conquest (2007) #1,Comic,2007-11-07 00:00:00+00:00,Annihilation: Conquest
Adam Warlock,WOMEN OF MARVEL (Trade Paperback),Trade Paperback,2007-08-08 00:00:00+00:00,None
Adam Warlock,Paradise X Vol. 1 (Trade Paperback),Trade Paperback,2007-07-18 00:00:00+00:00,None
Adam Warlock,Marvel Masterworks: Warlock Vol. (Hardcover),Hardcover,2007-01-24 00:00:00+00:00,None
Adam Warlock,MARVEL COMICS PRESENTS: WOLVERINE (Trade Paperback),Trade Paperback,2006-12-06 00:00:00+00:00,None
Adam Warlock,EARTH X (Trade Paperback),Trade Paperback,2006-06-28 00:00:00+00:00,None
Adam Warlock,Marvel Visionaries: Steve Ditko (Hardcover),Hardcover,2005-04-20 00:00:00+00:00,None
Adam Warlock,New Mutants Vol 1: Back to School (Trade Paperback),Trade Paperback,2005-02-23 00:00:00+00:00,None
Adam Warlock,Warlock (2004) #4,Comic,2005-02-01 00:00:00+00:00,None
Adam Warlock,Warlock (2004) #3,Comic,2005-01-01 00:00:00+00:00,None
Adam Warlock,Warlock (2004) #2,Comic,2004-12-01 00:00:00+00:00,None
Adam Warlock,Warlock (2004) #1,Comic,2004-11-01 00:00:00+00:00,None
Adam Warlock,THANOS: EPIPHANY (Trade Paperback),Trade Paperback,2004-07-01 00:00:00+00:00,None
Adam Warlock,X-MEN: OLD SOLDIERS (Trade Paperback),Trade Paperback,2004-07-01 00:00:00+00:00,None
Adam Warlock,Thanos (2003) #6,Comic,2004-02-04 00:00:00+00:00,None
Adam Warlock,Thanos (2003) #4,Comic,2004-01-07 00:00:00+00:00,None
Adam Warlock,New Mutants Vol 1: Back to School (Trade Paperback),Trade Paperback,2003-12-17 00:00:00+00:00,None
Adam Warlock,Thanos (2003) #2,Comic,2003-11-05 00:00:00+00:00,None
Adam Warlock,Thanos (2003) #1,Comic,2003-10-01 00:00:00+00:00,None
Adam Warlock,X-Men Legends Vol. III: Arthur Adams Book I (Trade Paperback),Trade Paperback,2003-09-01 00:00:00+00:00,None
Adam Warlock,X-Men Legends Vol. 3: Art Adams Book I (Trade Paperback),Trade Paperback,2003-07-16 00:00:00+00:00,None
Adam Warlock,New Mutants (2003) #3,Comic,2003-07-16 00:00:00+00:00,None
Adam Warlock,AVENGERS LEGENDS: AVENGERS FOREVER (Trade Paperback),Trade Paperback,2002-11-27 00:00:00+00:00,None
Adam Warlock,Paradise X (2002) #2,Comic,2002-06-01 00:00:00+00:00,None
Adam Warlock,Paradise X (2002),Comic,2002-04-01 00:00:00+00:00,None
Adam Warlock,Universe X (2000) #11,Comic,2001-08-01 00:00:00+00:00,None
Adam Warlock,Universe X (2000) #12,Comic,2001-08-01 00:00:00+00:00,None
Adam Warlock,Universe X Special: 4 (2001) #1,Comic,2000-10-01 00:00:00+00:00,None
Adam Warlock,Earth X (1999) #11,Comic,2000-03-01 00:00:00+00:00,None
Adam Warlock,X-Force (1991) #100,Comic,2000-03-01 00:00:00+00:00,None
Adam Warlock,X-Force (1991) #95,Comic,1999-10-01 00:00:00+00:00,None
Adam Warlock,Avengers Forever (1998) #9,Comic,1999-08-01 00:00:00+00:00,None
Adam Warlock,Uncanny X-Men (1981) #370,Comic,1999-07-01 00:00:00+00:00,None
Adam Warlock,X-Men (1991) #90,Comic,1999-07-01 00:00:00+00:00,None
Adam Warlock,X-Men (1991) #89,Comic,1999-06-01 00:00:00+00:00,None
Adam Warlock,Earth X (1999) #2,Comic,1999-05-01 00:00:00+00:00,None
Adam Warlock,Warlock (1998) #4,Comic,1999-02-01 00:00:00+00:00,None
Adam Warlock,Warlock (1998) #3,Comic,1999-01-01 00:00:00+00:00,None
Adam Warlock,Warlock (1998) #2,Comic,1998-12-01 00:00:00+00:00,None
Adam Warlock,Warlock (1998) #1,Comic,1998-11-01 00:00:00+00:00,None
Adam Warlock,X-Men: Clan Destine (1996) #2,Comic,1996-11-01 00:00:00+00:00,None
Adam Warlock,X-Force (1991) #50,Comic,1996-01-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #42,Comic,1995-07-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #41,Comic,1995-06-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #40,Comic,1995-05-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #39,Comic,1995-04-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #38,Comic,1995-03-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #37,Comic,1995-02-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #36,Comic,1995-01-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #35,Comic,1994-12-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #34,Comic,1994-11-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #33,Comic,1994-10-01 00:00:00+00:00,None
Adam Warlock,X-Force (1991) #38,Comic,1994-09-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #32,Comic,1994-09-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #31,Comic,1994-08-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #30,Comic,1994-07-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #29,Comic,1994-06-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #28,Comic,1994-05-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #27,Comic,1994-04-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #26,Comic,1994-03-01 00:00:00+00:00,None
Adam Warlock,Warlock Chronicles (1993) #8,Digital Comic,1994-02-10 00:00:00+00:00,Blood and Thunder
Adam Warlock,Warlock and the Infinity Watch (1992) #25,Comic,1994-02-01 00:00:00+00:00,Blood and Thunder
Adam Warlock,Warlock Chronicles (1993) #7,Comic,1994-01-10 00:00:00+00:00,Blood and Thunder
Adam Warlock,Incredible Hulk Annual (1976) #20,Comic,1994-01-01 00:00:00+00:00,None
Adam Warlock,Warlock and the Infinity Watch (1992) #24,Comic,1994-01-01 00:00:00+00:00,Blood and Thunder
Adam Warlock,Warlock Chronicles (1993) #6,Comic,1993-12-10 00:00:00+00:00,Blood and Thunder
Adam Warlock,Silver Surfer (1987) #87,Comic,1993-12-01 00:00:00+00:00,Blood and Thunder
Adam Warlock,Warlock and the Infinity Watch (1992) #23,Comic,1993-12-01 00:00:00+00:00,Blood and Thunder
Adam Warlock,Warlock Chronicles (1993) #5,Comic,1993-11-01 00:00:00+00:00,None
Adam Warlock,Infinity Crusade (1993) #6,Comic,1993-11-01 00:00:00+00:00,None
