character,comic_title,format,date,event
Gorgon,Avengers (1963) #127,Comic,1974-09-01 00:00:00+00:00,None
Gorgon,Fantastic Four Annual (1963) #5,Comic,1967-11-01 00:00:00+00:00,None
Groot,Marvel Zombies: Dawn of Decay (2024) #3,Comic,2024-11-20 00:00:00+00:00,None
Groot,Marvel Zombies: Dawn of Decay (2024) #1,Comic,2024-09-04 00:00:00+00:00,None
Groot,I Am Groot Infinity Comic (2023) #6,Digital Vertical Comic,2023-10-13 00:00:00+00:00,None
Groot,I Am Groot Infinity Comic (2023) #5,Digital Vertical Comic,2023-10-06 00:00:00+00:00,None
Groot,I Am Groot Infinity Comic (2023) #4,Digital Vertical Comic,2023-09-29 00:00:00+00:00,None
Groot,I Am Groot Infinity Comic (2023) #3,Digital Vertical Comic,2023-09-22 00:00:00+00:00,None
Groot,I Am Groot Infinity Comic (2023) #2,Digital Vertical Comic,2023-09-15 00:00:00+00:00,None
Groot,I Am Groot Infinity Comic (2023) #1,Digital Vertical Comic,2023-09-08 00:00:00+00:00,None
Groot,Groot (2023) #4,Comic,2023-08-16 00:00:00+00:00,None
Groot,Groot (2023) #3,Comic,2023-07-12 00:00:00+00:00,None
Groot,Groot (2023) #2,Comic,2023-06-07 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #20,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Cosmo the Spacedog Infinity Comic (2023) #3,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #11,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #12,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #13,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #15,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #16,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #19,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #18,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #17,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #14,Digital Vertical Comic,2023-06-02 00:00:00+00:00,None
Groot,Guardians of the Galaxy: The Jewel of Death Infinity Comic (2023) #4,Digital Vertical Comic,2023-05-24 00:00:00+00:00,None
Groot,Avengers Unlimited Infinity Comic (2022) #46,Digital Vertical Comic,2023-05-16 00:00:00+00:00,None
Groot,Groot (2023) #1,Comic,2023-05-03 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #4,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #1,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #2,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #3,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #5,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #6,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #7,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #8,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #9,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot: Tall Tails Infinity Comic (2023) #10,Digital Vertical Comic,2023-04-28 00:00:00+00:00,None
Groot,Marvel-Verse: Rocket & Groot (Trade Paperback),Trade Paperback,2023-04-19 00:00:00+00:00,None
Groot,Marvel Meow Infinity Comic (2022) #11,Digital Vertical Comic,2022-07-22 00:00:00+00:00,None
Groot,Rocket Raccoon and Groot: Tall Tails (Trade Paperback),Trade Paperback,2020-03-11 00:00:00+00:00,None
Groot,Shuri (2018) #3,Comic,2018-12-19 00:00:00+00:00,None
Groot,I AM GROOT (Trade Paperback),Trade Paperback,2017-11-22 00:00:00+00:00,None
Groot,I Am Groot (2017) #5,Comic,2017-09-27 00:00:00+00:00,None
Groot,I Am Groot (2017) #4,Comic,2017-08-23 00:00:00+00:00,None
Groot,True Believers: Kirby 100th - Groot (2017) #1,Comic,2017-08-09 00:00:00+00:00,None
Groot,I Am Groot (2017) #3,Comic,2017-07-26 00:00:00+00:00,None
Groot,THE A-Z OF MARVEL MONSTERS (Hardcover),Hardcover,2017-07-19 00:00:00+00:00,None
Groot,I Am Groot (2017) #2,Comic,2017-06-28 00:00:00+00:00,None
Groot,I Am Groot (2017) #1,Comic,2017-05-24 00:00:00+00:00,None
Groot,"MONSTERS VOL. 1: THE MARVEL MONSTERBUS BY STAN LEE, LARRY LIEBER & JACK KIRBY (Hardcover)",Hardcover,2017-05-03 00:00:00+00:00,None
Groot,Deadpool: Too Soon Infinite Comic (2016) #8,Infinite Comic,2016-10-19 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot (2016) #10,Comic,2016-09-28 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot (2016) #9,Comic,2016-09-14 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot (2016) #8,Comic,2016-08-31 00:00:00+00:00,None
Groot,Deadpool: Too Soon Infinite Comic (2016),Infinite Comic,2016-08-03 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot (2016) #7,Comic,2016-07-13 00:00:00+00:00,None
Groot,Deadpool: Too Soon Infinite Comic (2016) #1,Infinite Comic,2016-07-06 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot (2016) #6,Comic,2016-06-22 00:00:00+00:00,None
Groot,Guardians of Infinity (2015) #7,Comic,2016-06-15 00:00:00+00:00,None
Groot,Rocket Raccoon & Groot (2016) #5,Comic,2016-05-04 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #10,Digital Comic,2016-03-29 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #9,Infinite Comic,2016-03-22 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015),Infinite Comic,2016-03-15 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #7,Infinite Comic,2016-03-08 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015),Infinite Comic,2016-02-16 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #5,Digital Comic,2015-12-22 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #4,Digital Comic,2015-12-15 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #3,Digital Comic,2015-12-08 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #2,Digital Comic,2015-12-01 00:00:00+00:00,None
Groot,Marvel Universe Guardians of the Galaxy Infinite Comic (2015) #1,Digital Comic,2015-11-24 00:00:00+00:00,None
Groot,Guardians of the Galaxy Annual (2014) #1,Comic,2014-12-10 00:00:00+00:00,None
Groot,Rocket Raccoon (2014) #5,Comic,2014-11-05 00:00:00+00:00,None
Groot,Rocket Raccoon (2014) #1,Comic,2014-07-02 00:00:00+00:00,Marvel NOW!
Groot,Guardians of the Galaxy: Galaxy's Most Wanted (2014) #1,Comic,2014-07-02 00:00:00+00:00,None
Groot,Guardians of the Galaxy (2013) #1,Comic,2013-03-27 00:00:00+00:00,None
Groot,Annihilators: Earthfall (2011) #3,Comic,2011-11-23 00:00:00+00:00,None
Groot,Annihilators: Earthfall (2011) #2,Comic,2011-10-26 00:00:00+00:00,None
Groot,Annihilators: Earthfall (2011) #1,Comic,2011-09-28 00:00:00+00:00,None
Groot,Annihilators (2010) #4,Comic,2011-06-08 00:00:00+00:00,None
Groot,Annihilators (2010) #4 (VARIANT),Comic,2011-06-08 00:00:00+00:00,None
Groot,Annihilators (2010) #3 (DJURDJEVIC VARIANT),Comic,2011-05-04 00:00:00+00:00,None
Groot,Annihilators (2010) #3,Comic,2011-05-04 00:00:00+00:00,None
Groot,Annihilators (2010) #2,Comic,2011-04-06 00:00:00+00:00,None
Groot,Annihilators (2010) #2 (DAVIS VARIANT),Comic,2011-04-06 00:00:00+00:00,None
Groot,Annihilators (2010) #1,Comic,2011-03-02 00:00:00+00:00,None
Groot,Guardians of the Galaxy (2008) #20,Comic,2009-11-25 00:00:00+00:00,Realm of Kings
Groot,Annihilation: Conquest - Starlord (2007) #4,Comic,2007-11-07 00:00:00+00:00,Annihilation: Conquest
Groot,Annihilation: Conquest - Starlord (2007) #3,Comic,2007-09-26 00:00:00+00:00,Annihilation: Conquest
Groot,Annihilation: Conquest - Starlord (2007) #2,Comic,2007-08-22 00:00:00+00:00,Annihilation: Conquest
Groot,Annihilation: Conquest - Starlord (2007) #1,Comic,2007-07-25 00:00:00+00:00,Annihilation: Conquest
Groot,Incredible Hulk Annual (1976) #5,Digital Comic,1976-10-10 00:00:00+00:00,None
Guardian,Hulk (2008) #57,Comic,2012-08-29 00:00:00+00:00,None
Guardian,Hulk (2008) #56,Comic,2012-08-15 00:00:00+00:00,None
Guardian,INFINITY WAR TPB (Trade Paperback),Trade Paperback,2012-07-11 00:00:00+00:00,Infinity War
Guardian,Hulk (2008) #54,Comic,2012-06-20 00:00:00+00:00,None
Guardian,Hulk (2008) #53,Comic,2012-06-06 00:00:00+00:00,None
Guardian,Chaos War: Alpha Flight (2010) #1,Comic,2010-11-24 00:00:00+00:00,Chaos War
Guardian,PARADISE X (Trade Paperback),Trade Paperback,2007-08-22 00:00:00+00:00,None
Guardian,Paradise X Vol. 1 (Trade Paperback),Trade Paperback,2007-07-18 00:00:00+00:00,None
Guardian,Heroes Reborn: Fantastic Four (Trade Paperback),Trade Paperback,2006-10-25 00:00:00+00:00,None
Guardian,EARTH X (Trade Paperback),Trade Paperback,2006-06-28 00:00:00+00:00,None
Guardian,Uncanny X-Men (1981) #422,Comic,2003-04-23 00:00:00+00:00,None
Guardian,Uncanny X-Men (1981) #421,Comic,2003-04-10 00:00:00+00:00,None
Guardian,Paradise X (2002) #7,Comic,2003-01-01 00:00:00+00:00,None
Guardian,Paradise X (2002) #6,Comic,2002-12-01 00:00:00+00:00,None
Guardian,Paradise X (2002) #4,Comic,2002-09-01 00:00:00+00:00,None
Guardian,Black Panther (1998) #44,Comic,2002-07-01 00:00:00+00:00,None
Guardian,Black Panther (1998) #43,Comic,2002-06-01 00:00:00+00:00,None
Guardian,Paradise X (2002) #2,Comic,2002-06-01 00:00:00+00:00,None
Guardian,Paradise X (2002) #1,Comic,2002-05-01 00:00:00+00:00,None
Guardian,Black Panther (1998) #42,Comic,2002-05-01 00:00:00+00:00,None
Guardian,Wolverine (1988) #172,Comic,2002-03-01 00:00:00+00:00,None
Guardian,Earth X (1999) #10,Comic,2000-01-01 00:00:00+00:00,None
Guardian,Uncanny X-Men (1981) #355,Comic,1998-05-01 00:00:00+00:00,None
Guardian,Fantastic Four (1996) #9,Comic,1997-07-01 00:00:00+00:00,None
Guardian,X-Men Unlimited (1993) #15,Comic,1997-06-01 00:00:00+00:00,None
Guardian,Wolverine (1988) #95,Comic,1995-11-01 00:00:00+00:00,None
Guardian,The Amazing Spider-Man (1963) #399,Comic,1995-03-01 00:00:00+00:00,None
Guardian,Alpha Flight (1983) #130,Comic,1994-03-01 00:00:00+00:00,None
Guardian,Alpha Flight (1983) #113,Comic,1992-10-10 00:00:00+00:00,None
Guardian,Warlock and the Infinity Watch (1992) #8,Comic,1992-09-01 00:00:00+00:00,None
Guardian,Incredible Hulk (1962) #393,Comic,1992-05-01 00:00:00+00:00,None
Guardian,Fantastic Four (1961) #357,Comic,1991-10-01 00:00:00+00:00,None
Guardian,Alpha Flight (1983) #90,Comic,1990-11-01 00:00:00+00:00,None
Guardian,Alpha Flight (1983) #52,Comic,1987-11-01 00:00:00+00:00,None
Guardian,Alpha Flight (1983) #12,Comic,1984-07-10 00:00:00+00:00,None
Guardian,Alpha Flight (1983) #3,Comic,1983-10-01 00:00:00+00:00,None
Gwen Stacy,Love Unlimited Infinity Comic (2022) #72,Digital Vertical Comic,2023-10-19 00:00:00+00:00,None
Gwen Stacy,Love Unlimited Infinity Comic (2022) #71,Digital Vertical Comic,2023-10-12 00:00:00+00:00,None
Gwen Stacy,Love Unlimited Infinity Comic (2022) #70,Digital Vertical Comic,2023-10-05 00:00:00+00:00,None
Gwen Stacy,Love Unlimited Infinity Comic (2022) #69,Digital Vertical Comic,2023-09-28 00:00:00+00:00,None
Gwen Stacy,Love Unlimited Infinity Comic (2022) #68,Digital Vertical Comic,2023-09-21 00:00:00+00:00,None
Gwen Stacy,Love Unlimited Infinity Comic (2022) #67,Digital Vertical Comic,2023-09-14 00:00:00+00:00,None
Gwen Stacy,What If...? Dark: Spider-Gwen (2023) #1,Comic,2023-07-26 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (2022) #23,Comic,2023-04-05 00:00:00+00:00,None
Gwen Stacy,Spider-Verse Unlimited Infinity Comic (2022) #34,Digital Vertical Comic,2023-01-24 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (2022) #10,Comic,2022-09-28 00:00:00+00:00,None
Gwen Stacy,Giant-Size Gwen Stacy (2022) #1,Comic,2022-08-10 00:00:00+00:00,None
Gwen Stacy,King In Black: Gwenom Vs. Carnage (Trade Paperback),Trade Paperback,2021-07-28 00:00:00+00:00,None
Gwen Stacy,Heroes Reborn: Night-Gwen (2021) #1,Comic,2021-06-09 00:00:00+00:00,None
Gwen Stacy,Gwen Stacy (2020) #2,Comic,2020-03-11 00:00:00+00:00,None
Gwen Stacy,Gwen Stacy (2020) #1,Comic,2020-02-12 00:00:00+00:00,None
Gwen Stacy,SPIDER-MAN: FOREVER YOUNG PROSE NOVEL (Hardcover),Hardcover,2017-06-07 00:00:00+00:00,None
Gwen Stacy,THE AMAZING SPIDER-MAN OMNIBUS VOL. 3 (Hardcover),Hardcover,2017-05-17 00:00:00+00:00,None
Gwen Stacy,AMAZING SPIDER-MAN EPIC COLLECTION: THE GOBLIN'S LAST STAND (Trade Paperback),Trade Paperback,2017-05-03 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (2017) #23,Comic,2017-01-18 00:00:00+00:00,Dead No More: The Clone Conspiracy
Gwen Stacy,Ultimate Comics Spider-Man (2011) #14,Comic,2012-09-05 00:00:00+00:00,None
Gwen Stacy,Ultimate Comics Spider-Man (2011) #13,Comic,2012-08-01 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man: The Movie (2012) #2,Comic,2012-06-13 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man: The Movie (2012) #1,Comic,2012-06-06 00:00:00+00:00,None
Gwen Stacy,Ultimate Fallout (2011) #2,Comic,2011-07-20 00:00:00+00:00,None
Gwen Stacy,Spider-Man: The Original Clone Saga (Trade Paperback),Trade Paperback,2011-06-29 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man (1999) #655 (2nd Printing Variant),Comic,2011-06-08 00:00:00+00:00,None
Gwen Stacy,Spider-Man: With Great Power Comes Great Responsibility (2010) #1,Comic,2011-04-06 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man (1999) #655,Comic,2011-02-23 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man Family (2008) #4,Comic,2009-02-18 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man Family (2008) #2,Comic,2008-10-08 00:00:00+00:00,None
Gwen Stacy,Spider-Man Loves Mary Jane (2005) #20,Comic,2007-07-11 00:00:00+00:00,None
Gwen Stacy,Spider-Man Loves Mary Jane (2005) #17,Comic,2007-04-11 00:00:00+00:00,None
Gwen Stacy,Spider-Man Loves Mary Jane (2005) #15,Comic,2007-02-28 00:00:00+00:00,None
Gwen Stacy,SPIDER-MAN: DEATH OF THE STACYS (Hardcover),Hardcover,2007-02-14 00:00:00+00:00,None
Gwen Stacy,Spider-Man Loves Mary Jane (2005) #14,Comic,2007-01-24 00:00:00+00:00,None
Gwen Stacy,Spider-Man Loves Mary Jane (2005) #13,Comic,2006-12-27 00:00:00+00:00,None
Gwen Stacy,Spider-Man Loves Mary Jane (2005) #9,Comic,2006-08-23 00:00:00+00:00,None
Gwen Stacy,X-Statix Presents: Dead Girl (2006) #1,Comic,2006-01-18 00:00:00+00:00,None
Gwen Stacy,MARVEL VISIONARIES: STAN LEE (Hardcover),Hardcover,2005-03-01 00:00:00+00:00,None
Gwen Stacy,AMAZING SPIDER-MAN: SINS PAST (Trade Paperback),Trade Paperback,2005-03-01 00:00:00+00:00,None
Gwen Stacy,MARVEL MASTERWORKS: THE AMAZING SPIDER-MAN (Hardcover),Hardcover,2005-01-01 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man (1999) #510,Comic,2004-07-28 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man (1999) #509,Comic,2004-06-23 00:00:00+00:00,None
Gwen Stacy,ULTIMATE SPIDER-MAN: LEGACY (Trade Paperback),Trade Paperback,2002-11-27 00:00:00+00:00,None
Gwen Stacy,Ultimate Spider-Man Super Special (2002) #1,Digital Comic,2002-07-01 00:00:00+00:00,None
Gwen Stacy,Ultimate Spider-Man (2000) #23,Comic,2002-06-05 00:00:00+00:00,None
Gwen Stacy,Ultimate Spider-Man (2000) #21,Comic,2002-04-03 00:00:00+00:00,None
Gwen Stacy,Ultimate Spider-Man (2000) #20,Comic,2002-03-06 00:00:00+00:00,None
Gwen Stacy,Ultimate Spider-Man (2000) #19,Comic,2002-02-20 00:00:00+00:00,None
Gwen Stacy,Ultimate Spider-Man (2000) #18,Comic,2002-02-06 00:00:00+00:00,None
Gwen Stacy,Ultimate Spider-Man (2000) #17,Comic,2002-01-02 00:00:00+00:00,None
Gwen Stacy,Deadpool (1997) #61,Comic,2001-12-26 00:00:00+00:00,None
Gwen Stacy,Spider-Man: Death and Destiny (2000) #1,Comic,2000-08-01 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man (1999) #8,Comic,1999-08-01 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man (1999) #7,Comic,1999-07-01 00:00:00+00:00,None
Gwen Stacy,MARVEL VISIONARIES: GIL KANE (Trade Paperback),Trade Paperback,1999-01-01 00:00:00+00:00,None
Gwen Stacy,Deadpool (1997) #11,Comic,1997-12-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #399,Comic,1995-03-01 00:00:00+00:00,None
Gwen Stacy,Amazing Spider-Man Annual (1964) #16,Comic,1982-12-01 00:00:00+00:00,None
Gwen Stacy,What If? (1977) #24,Comic,1980-12-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #149,Comic,1975-10-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #148,Comic,1975-09-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #147,Comic,1975-08-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #146,Comic,1975-07-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #145,Comic,1975-06-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #122,Comic,1973-07-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #121,Comic,1973-06-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #120,Comic,1973-05-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #117,Comic,1973-02-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #114,Comic,1972-11-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #111,Comic,1972-08-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #108,Comic,1972-05-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #107,Comic,1972-04-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #105,Comic,1972-02-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #104,Comic,1972-01-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #103,Comic,1971-12-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #99,Comic,1971-08-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #98,Comic,1971-07-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #95,Comic,1971-04-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #93,Comic,1971-02-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #92,Comic,1971-01-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #91,Comic,1970-12-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #72,Comic,1969-05-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #70,Comic,1969-03-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #69,Comic,1969-02-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #68,Comic,1969-01-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #67,Comic,1968-12-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #66,Comic,1968-11-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #65,Comic,1968-10-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #64,Comic,1968-09-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #62,Comic,1968-07-01 00:00:00+00:00,None
Gwen Stacy,The Amazing Spider-Man (1963) #61,Comic,1968-06-01 00:00:00+00:00,None
Harry Osborn,The Amazing Spider-Man (2017) #800,Comic,2018-05-30 00:00:00+00:00,None
Harry Osborn,SPIDER-MAN: BRAND NEW DAY - THE COMPLETE COLLECTION VOL. 3 (Trade Paperback),Trade Paperback,2017-06-14 00:00:00+00:00,None
Harry Osborn,WHAT IF? DARK AVENGERS (Trade Paperback),Trade Paperback,2011-03-23 00:00:00+00:00,None
Harry Osborn,Osborn (2010) #1,Comic,2010-11-17 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #647,Comic,2010-11-03 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #647 (MCNIVEN VARIANT),Comic,2010-11-03 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #646,Comic,2010-10-27 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #646 (RIVERA VARIANT),Comic,2010-10-27 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #646 (VAMPIRE VARIANT),Comic,2010-10-27 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #645,Comic,2010-10-13 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #645 (SPIDEY VS. VARIANT),Comic,2010-10-06 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #644 (BACHALO VARIANT),Comic,2010-09-29 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #644,Comic,2010-09-29 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #643 (SHS VARIANT),Comic,2010-09-15 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #643 (JIMENEZ VARIANT),Comic,2010-09-15 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #643,Comic,2010-09-15 00:00:00+00:00,None
Harry Osborn,SPIDER-MAN: THE GAUNTLET - LIZARD (Hardcover),Hardcover,2010-09-15 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #642,Comic,2010-09-09 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man Presents: American Son (2010) #4,Comic,2010-08-25 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #639,Comic,2010-07-28 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man Presents: American Son (2010) #3,Comic,2010-07-21 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #638,Comic,2010-07-21 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man Presents: American Son (2010) #2,Comic,2010-06-30 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man Presents: American Son (2010) #1,Comic,2010-05-19 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #630 (QUINONES VARIANT),Comic,2010-05-05 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #630,Comic,2010-05-05 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #621,Comic,2010-02-17 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #610,Comic,2009-11-04 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #609,Comic,2009-10-21 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #605,Comic,2009-09-16 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #604,Comic,2009-09-10 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #603,Comic,2009-08-19 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #602,Comic,2009-08-12 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #599,Comic,2009-07-15 00:00:00+00:00,Dark Reign
Harry Osborn,Amazing Spider-Man (1999) #599,Comic,2009-07-15 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #598,Comic,2009-06-24 00:00:00+00:00,Dark Reign
Harry Osborn,Amazing Spider-Man (1999) #598,Comic,2009-06-24 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #597,Comic,2009-06-10 00:00:00+00:00,Dark Reign
Harry Osborn,Amazing Spider-Man (1999) #596,Comic,2009-06-03 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #596,Comic,2009-06-03 00:00:00+00:00,Dark Reign
Harry Osborn,Amazing Spider-Man (1999) #595,Comic,2009-05-28 00:00:00+00:00,Dark Reign
Harry Osborn,Amazing Spider-Man (1999) #595 (GRANOV VARIANT),Comic,2009-05-28 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #591,Comic,2009-04-15 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #590,Comic,2009-04-01 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man: Extra! (2008) #3,Comic,2009-03-18 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man (1999) #588,Comic,2009-03-18 00:00:00+00:00,None
Harry Osborn,Amazing Spider-Man Family (2008) #4,Comic,2009-02-18 00:00:00+00:00,None
